,product_id,product_category_name_english,order_id,price,review_score,customer_id,order_status,payment_sequential,customer_city,customer_state
0,1e9e8ef04dbcff4541ed26657ea517e5,perfumery,e17e4f88e31525f7deef66779844ddce,10.91,5,1,delivered,1,mogi-guacu,SP
1,0d009643171aee696f4733340bc2fdd0,perfumery,7b13c77c64a9a956500cbf1a9a23798d,275.0,3,1,delivered,1,sao paulo,SP
2,0d009643171aee696f4733340bc2fdd0,perfumery,a84a0bd528e053f6b266e21bb1111e3f,319.9,5,1,delivered,1,cachoeiras de macacu,RJ
3,28e410092e56a080e14595c053d0bbe8,perfumery,e680246ff33f65fe221f0e11128a4778,9.9,5,2,delivered,1,sao paulo,SP
4,28e410092e56a080e14595c053d0bbe8,perfumery,e680246ff33f65fe221f0e11128a4778,9.9,5,3,delivered,1,sao paulo,SP
5,3488d2ce36e718097c1509444289ef7f,perfumery,098a8457920d6c63f0cb10ccfbcd369d,199.9,5,4,delivered,1,sorocaba,SP
6,f159439c5c382fae366d444e05c590c1,perfumery,4dbf5de576e0e8d18ad0932e1ed8e89d,149.9,1,5,delivered,1,sao paulo,SP
7,f159439c5c382fae366d444e05c590c1,perfumery,4dbf5de576e0e8d18ad0932e1ed8e89d,149.9,1,6,delivered,1,sao paulo,SP
8,f159439c5c382fae366d444e05c590c1,perfumery,51439e5635af258945aeca18f5a04edb,146.99,5,7,delivered,1,porto alegre,RS
9,f159439c5c382fae366d444e05c590c1,perfumery,b1737a1ef657350ee5e90c4035ad2aeb,146.99,5,8,delivered,1,rio de janeiro,RJ
10,e792f2bb275bdea9b6076c2acbb5abcd,perfumery,b4f0e735d23a1ec6a012fb7769cb909f,186.6,5,9,delivered,1,sao paulo,SP
11,e792f2bb275bdea9b6076c2acbb5abcd,perfumery,ba7da6649755130f12897371beb31272,186.6,4,10,delivered,1,contagem,MG
12,74291f20821eae2aacb949b41622ef52,perfumery,6ed7913722200b05e7d5df38f1ee777e,249.9,1,11,delivered,1,sao paulo,SP
13,b91b152754992edb9a83710c87a9427e,perfumery,47073fb1adb2b41ef8bba8c77d8ed86f,519.0,3,12,delivered,1,pouso alegre,MG
14,cdafffbe81c76e4cb8b1270523215c82,perfumery,390056468c27192af8354d708051054e,4.99,5,13,delivered,1,cacapava,SP
15,cdafffbe81c76e4cb8b1270523215c82,perfumery,95ef5243238e7b30c38c33fcdf05331e,4.99,1,14,delivered,1,ilhabela,SP
16,cdafffbe81c76e4cb8b1270523215c82,perfumery,95ef5243238e7b30c38c33fcdf05331e,4.99,1,15,delivered,1,ilhabela,SP
17,cc5447118c174dcc6456c84ccb29e6f7,perfumery,1ce8d14cbfa55d85f3009438ecbd792b,119.8,5,16,delivered,1,paulo afonso,BA
18,cc5447118c174dcc6456c84ccb29e6f7,perfumery,9dce1279b896cb9d151b2649073089c2,116.5,5,17,delivered,1,jaguariuna,SP
19,cc5447118c174dcc6456c84ccb29e6f7,perfumery,e57e73a70eae13788da4c7fd3b96ed0b,117.8,1,17,delivered,1,catanduva,SP
20,b840f8eeee0b143a479738d150115753,perfumery,e57e73a70eae13788da4c7fd3b96ed0b,117.4,1,18,delivered,1,catanduva,SP
21,db8416b29581dc9ccea5e43e59fda317,perfumery,38ef39ee8ebc5f492b0253bcd1213dcc,114.9,5,19,delivered,1,arapiraca,AL
22,6e423c2d28bfb207e1fd1d6e1df84721,perfumery,6e8e751584b3e3141e3e3c39f71408c2,28.89,5,20,delivered,1,cuiaba,MT
23,fbc1488c1a1e72ba175f53ab29a248e8,perfumery,6e8e751584b3e3141e3e3c39f71408c2,119.4,5,21,delivered,1,cuiaba,MT
